famille,categorie,verifiees,incertaines,faux,taux_faux_positifs,notices_base,faux_estimes_base
d'après (copie d'un modèle),copie,15,0,0,0.0,22564,0
copie,copie,10,1,0,0.0,280,0
attribué à,doute,30,1,1,0.0345,18008,621
atelier de,doute,25,0,16,0.64,5558,3557
école de,doute,20,0,4,0.2,2865,573
? (point d'interrogation),doute,25,0,4,0.16,2731,437
(à la) manière de,doute,15,0,0,0.0,703,0
entourage de,doute,15,0,1,0.0667,503,34
genre de,doute,15,0,0,0.0,303,0
suiveur de,doute,10,0,1,0.1,80,8
présumé,doute,4,0,1,0.25,4,1
champ Ancienne_attribution renseigné,revision,15,0,0,0.0,27266,0
anciennement attribué à,revision,7,0,0,0.0,7,0
