nom|notices_prudentes|musees|graphies|deja_retenu|exemple_reference|exemple_mention|statut|rattachement_ou_motif
BARLA JEAN-BAPTISTE|5791|1|1|Jean-Baptiste Barla|70500001179|Barla Jean-Baptiste (1817-1896) (attribué à)|hors périmètre|fonds botanique sériel, concentré dans un seul musée, hors de l'angle éditorial du volume consacré aux attributions artistiques
IMPRIMERIE DE WISSEMBOURG|392|1|1||M0022067712|Imprimerie de Wissembourg (attribué à, lithographe, éditeur, imprimeur)|écarté|entité non personnelle
LE BRUN CHARLES|310|19|1|Charles Le Brun|000PE001736|LE BRUN Charles (atelier)|retenu|Charles Le Brun
CLAUSEL ALEXANDRE|295|1|1|Alexandre Clausel|00000082499|CLAUSEL Alexandre (attribué)|retenu|Alexandre Clausel
NORMAND CHARLES PIERRE JOSEPH|244|1|1|Charles Normand|50350231722|NORMAND Charles Pierre Joseph (attribué à)|retenu|Charles Normand
TIRODE LEON|231|1|1|Léon Tirode|M0332051015|Tirode Léon (1873-1956) (attribué à)|retenu|Léon Tirode
INGRES JEAN-AUGUSTE-DOMINIQUE|189|3|1|Ingres|000PE016750|Ingres Jean-Auguste-Dominique (1780-1867) attribué à|retenu|Ingres
REMBRANDT|187|10|1|Rembrandt|000PE008564|Rembrandt (1606-1669) (atelier, dit)|retenu|Rembrandt
MORINET LOUIS GEORGES ALBERT|168|1|1|Louis Morinet|M0537001338|Morinet Louis Georges Albert (1863-1926) (dessinateur, attribué à)|retenu|Louis Morinet
CALANDRUCCI GIACINTO|158|2|1|Giacinto Calandrucci|50350501072|CALANDRUCCI Giacinto (atelier)|retenu|Giacinto Calandrucci
ANONYME|152|23|1||50350145132|anonyme (école)|écarté|entité non personnelle
BUONARROTI MICHELANGELO|148|3|1|Michel-Ange|M0347001723|BUONARROTI Michelangelo (?)|retenu|Michel-Ange
BIGOT GEORGES-FERDINAND|125|1|1|Georges Ferdinand Bigot|M0537002244|Bigot Georges-Ferdinand (1860-1927) (dessinateur, attribué à)|retenu|Georges Ferdinand Bigot
PRIMATICCIO|121|1|1|Le Primatice|50350105462|ECOLE DE PRIMATICCIO|retenu|Le Primatice
RUBENS PETRUS PAULUS|120|18|1|Rubens|000PE008806|Rubens Petrus Paulus (1577-1640) (atelier)|retenu|Rubens
FORT LEON|107|1|1|Léon Fort|M0435000514|FORT Léon (attribué à)|retenu|Léon Fort
CLOUET FRANCOIS|105|8|1|François Clouet|000PE000509|CLOUET François (atelier)|retenu|François Clouet
DUTHOIT LOUIS|94|1|1|Louis Duthoit|08120003824|DUTHOIT Louis (?)|retenu|Louis Duthoit
BARBIERI GIOVANNI FRANCESCO|93|6|1|Le Guerchin|00000068542|BARBIERI Giovanni Francesco (attribué)|retenu|Le Guerchin
DUTHOIT AIME|93|1|1|Aimé Duthoit|08120003824|DUTHOIT Aimé (?)|retenu|Aimé Duthoit
BOUCHARDON EDME|86|4|1|Bouchardon|00000077096|BOUCHARDON Edme (attribué)|retenu|Bouchardon
CARRACCI ANNIBALE|86|13|1|Annibale Carracci|000DE006899|CARRACCI Annibale (attribué à)|retenu|Annibale Carracci
RODIN AUGUSTE|80|3|1|Rodin|000DE017259|Rodin Auguste (1840-1917) (attribué)|retenu|Rodin
PIPPI GIULIO|78|4|1|Jules Romain|00000068540|PIPPI Giulio (attribué)|retenu|Jules Romain
BOUCHER FRANCOIS|78|20|1|Boucher|000PE000206|Boucher François (1703-1770) (atelier)|retenu|Boucher
CARRACCI L'UN DES|78|1|1||50350004805|CARRACCI l'un des (attribué à)|écarté|entité non personnelle
CARRACCI LUDOVICO|76|5|1|Ludovico Carracci|000PE014196|CARRACCI Ludovico (attribué à)|retenu|Ludovico Carracci
PRIMATICCIO FRANCESCO|74|5|1|Le Primatice|50510020999|PRIMATICCIO Francesco (école)|retenu|Le Primatice
LE PRIMATICE|72|3|1|Le Primatice|00000068545|LE PRIMATICE (dit, attribué)|retenu|Le Primatice
PINOT CHARLES FRANCOIS|71|1|1|Charles François Pinot|M0537043941|Pinot Charles François (dessinateur, attribué à)|retenu|Charles François Pinot
TENIERS DAVID|67|22|1|David Téniers|000PE008889|Téniers David (1610-1690) (école)|retenu|David Téniers
GERARD FRANCOIS|65|11|1|François Gérard|000PE001267|Gérard François (1770-1837) (atelier)|retenu|François Gérard
MAZZUOLA FRANCESCO|63|1|1|Le Parmesan|50350201798|MAZZUOLA Francesco (école)|retenu|Le Parmesan
SARTO ANDREA DEL|62|3|1|Andrea del Sarto|000PE014694|SARTO Andrea DEL (dit, attribué à)|retenu|Andrea del Sarto
MANUFACTURE DE CREIL|60|3|1||50160001196|manufacture de Creil (?, manufacture)|écarté|entité non personnelle
COYPEL L'UN DES|60|2|1||50350026205|COYPEL l'un des (attribué à)|écarté|entité non personnelle
GIRAUD ANDRE MARIE FLORENTIN|59|1|1|André Marie Florentin Giraud|000DE023348|GIRAUD André Marie Florentin (attribué)|retenu|André Marie Florentin Giraud
RENI GUIDO|59|13|1|Guido Reni|000PE019530|RENI Guido (attribué)|retenu|Guido Reni
BONACCORSI PIERO|53|1|1|Perino del Vaga|50350200216|BONACCORSI Piero (atelier)|retenu|Perino del Vaga
