reference_joconde,match_status,match_method,rights_status,license,titre_joconde,musee_joconde,artistes,wikidata_qid,commons_file,source_page_url,file_url,credit,creator,license_url,match_evidence,verified_by,verified_at,note_verification
00000077353,a_verifier,inventory_number,open,Public domain,AMOUR REPANDANT DES FLEURS,musée Condé,Annibale Carracci,Q64651948,Annibale Carracci La Notte Museo Condé Chantilly.jpg,https://commons.wikimedia.org/wiki/File:Annibale_Carracci_La_Notte_Museo_Cond%C3%A9_Chantilly.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Annibale_Carracci_La_Notte_Museo_Cond%C3%A9_Chantilly.jpg,Joconde database : entry 00000077354,Annibale Carracci,,inventory_match;institution_match,auto,2026-07-29,
00000103010,a_verifier,inventory_number,unknown,,JUDITH TENANT LA TETE D'HOLOPHERNE,musée du Louvre,Guido Reni,Q115673014,,,,,,,inventory_match;institution_match;title_match,auto,2026-07-29,
000DE006757,a_verifier,inventory_number,unknown,,LA NOURRICE,musée des beaux-arts,Greuze,Q138415095,,,,,,,inventory_match;institution_match,auto,2026-07-29,
000DE006757,a_verifier,inventory_number,unknown,,LA NOURRICE,musée des beaux-arts,Greuze,Q120685750,,,,,,,inventory_match;institution_match,auto,2026-07-29,
000DE006757,a_verifier,inventory_number,open,Public domain,LA NOURRICE,musée des beaux-arts,Greuze,Q123598654,Theodor van Loon - L'assomption de la Vierge.jpg,https://commons.wikimedia.org/wiki/File:Theodor_van_Loon_-_L%27assomption_de_la_Vierge.jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/Theodor_van_Loon_-_L%27assomption_de_la_Vierge.jpg,This illustration was made by Antoine Motte dit Falisse alias M0tty but it is in the public domain because it is a faithful photographic reproduction of an original two-dimensional work of art and the work of art itself is in the public domain . English | français | +/−,Theodoor van Loon,,inventory_match;institution_match,auto,2026-07-29,
000DE006757,a_verifier,inventory_number,open,Public domain,LA NOURRICE,musée des beaux-arts,Greuze,Q24284077,Nicolaes Maes - Christ before Pilate - Szépművészeti Múzeum.jpg,https://commons.wikimedia.org/wiki/File:Nicolaes_Maes_-_Christ_before_Pilate_-_Sz%C3%A9pm%C5%B1v%C3%A9szeti_M%C3%BAzeum.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4a/Nicolaes_Maes_-_Christ_before_Pilate_-_Sz%C3%A9pm%C5%B1v%C3%A9szeti_M%C3%BAzeum.jpg,https://www.szepmuveszeti.hu/adatlap_eng/christ_before_pilate_regnier_van_9794,Nicolaes Maes / Attributed to Reynier van Gherwen,,inventory_match;institution_match,auto,2026-07-29,
000DE006830,a_verifier,inventory_number,unknown,,PROJET DE MEDAILLE EN MEMOIRE DE LA CESSATION DE LA PESTE A MARSEILLE,musée des beaux-arts,Bouchardon,Q138428832,,,,,,,inventory_match;institution_match,auto,2026-07-29,
000DE006830,a_verifier,inventory_number,open,CC BY-SA 4.0,PROJET DE MEDAILLE EN MEMOIRE DE LA CESSATION DE LA PESTE A MARSEILLE,musée des beaux-arts,Bouchardon,Q120675164,PMa B 646 Tournai.jpg,https://commons.wikimedia.org/wiki/File:PMa_B_646_Tournai.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/PMa_B_646_Tournai.jpg,Own work,PMRMaeyaert,https://creativecommons.org/licenses/by-sa/4.0,inventory_match;institution_match,auto,2026-07-29,
000DE006830,a_verifier,inventory_number,open,Public domain,PROJET DE MEDAILLE EN MEMOIRE DE LA CESSATION DE LA PESTE A MARSEILLE,musée des beaux-arts,Bouchardon,Q94657444,"Félix Vallotton, 1925 - Paysage de la Creuse.png","https://commons.wikimedia.org/wiki/File:F%C3%A9lix_Vallotton,_1925_-_Paysage_de_la_Creuse.png",https://upload.wikimedia.org/wikipedia/commons/2/26/F%C3%A9lix_Vallotton%2C_1925_-_Paysage_de_la_Creuse.png,http://wetreesinart.tumblr.com/post/80902963548/f%C3%A9lix-vallotton-suisse-1865-1925-paysage-de-la,Félix Vallotton,,inventory_match;institution_match;title_match,auto,2026-07-29,
000DE006830,a_verifier,inventory_number,open,Public domain,PROJET DE MEDAILLE EN MEMOIRE DE LA CESSATION DE LA PESTE A MARSEILLE,musée des beaux-arts,Bouchardon,Q106091670,Waltmann Strasbourg pasce oves meas.jpg,https://commons.wikimedia.org/wiki/File:Waltmann_Strasbourg_pasce_oves_meas.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Waltmann_Strasbourg_pasce_oves_meas.jpg,Own work,Abraham van Diepenbeeck,,inventory_match;institution_match,auto,2026-07-29,
000DE006899,a_verifier,inventory_number,open,Public domain,GUERRIERS AU COMBAT,musée des beaux-arts,Annibale Carracci,Q111731605,Rubens Portrait de femme.jpg,https://commons.wikimedia.org/wiki/File:Rubens_Portrait_de_femme.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dc/Rubens_Portrait_de_femme.jpg,Own work,Peter Paul Rubens,,inventory_match;institution_match,auto,2026-07-29,
000DE006899,a_verifier,inventory_number,unknown,,GUERRIERS AU COMBAT,musée des beaux-arts,Annibale Carracci,Q120686225,,,,,,,inventory_match;institution_match,auto,2026-07-29,
000DE006899,a_verifier,inventory_number,unknown,,GUERRIERS AU COMBAT,musée des beaux-arts,Annibale Carracci,Q59512364,,,,,,,inventory_match;institution_match,auto,2026-07-29,
000DE006899,a_verifier,inventory_number,open,Public domain,GUERRIERS AU COMBAT,musée des beaux-arts,Annibale Carracci,Q60052265,PMa B 571 Tournai.jpg,https://commons.wikimedia.org/wiki/File:PMa_B_571_Tournai.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/PMa_B_571_Tournai.jpg,Own work,Fernand Khnopff,,inventory_match;institution_match,auto,2026-07-29,
