famille,libelle,categorie,suspect,notices,taux_toutes_notices,taux_auteur_renseigne
d_apres,d'après (copie d'un modèle),copie,False,22564,0.02204,0.02679
copie,copie,copie,True,280,0.00027,0.00033
attribue,attribué à,doute,False,18008,0.01759,0.02138
atelier_de,atelier de,doute,False,5558,0.00543,0.00657
ecole_de,école de,doute,False,2865,0.0028,0.0034
point_interrogation,? (point d'interrogation),doute,False,2731,0.00267,0.00324
maniere_de,(à la) manière de,doute,False,703,0.00069,0.00083
entourage_de,entourage de,doute,False,503,0.00049,0.0006
genre_de,genre de,doute,True,303,0.0003,0.00036
suiveur_de,suiveur de,doute,False,80,8e-05,9e-05
presume,présumé,doute,True,4,0.0,0.0
champ_ancienne_attribution,champ Ancienne_attribution renseigné,revision,False,27266,0.02663,0.03189
anciennement_attribue,anciennement attribué à,revision,False,7,1e-05,1e-05
