rang,musee,ville,code_museofile,notices,sans_licence,soumises_a_autorisation,photographes_credites,artistes_principaux,exemple_notice_pop
1,musée de l'image,Epinal,M0537,519,519,0,musée de l'Image - Ville d'Épinal / cliché H. Rouyer | musée de l'Image - Ville d'Épinal / cliché E. Erfani | musée de l’Image - Ville d'Épinal / cliché E. Erfani | musée de l’Image – Ville d’Épinal / cliché E. Erfani,"Louis Morinet, Georges Ferdinand Bigot, Charles François Pinot, Charles Eugène Ensfelder, François Georgin",https://pop.culture.gouv.fr/notice/joconde/M0537000075
2,musée des beaux-arts et d'archéologie,Besançon,M0332,388,350,38,"© Musée des beaux-arts et d'archéologie, Besançon | GUENAT Pierre | © GUENAT Pierre | © musées de Besançon ; GUENAT Pierre","Léon Tirode, François Gérard, Louis Hertig, Géricault, Boucher",https://pop.culture.gouv.fr/notice/joconde/M0332000543
3,musée des beaux-arts et d’archéologie,Troyes,M0303,295,295,0,"Protte Jean-Marie, musée des beaux-arts et d'archéologie | Belle Carole, musée des beaux-arts et d'archéologie | musée des beaux-arts et d'archéologie | Carole Bell, Ville de Troyes","Alexandre Clausel, Van Dyck",https://pop.culture.gouv.fr/notice/joconde/03030002149
4,musée Ingres Bourdelle,Montauban,M0607,210,210,0,© Roumagnac Guy | © Jeanneteau Marc ; © musée de Montauban | Roumagnac Guy | © Guy Roumagnac,"Ingres, Gaspard Dughet, Pierre Mignard, Corneille de Lyon, Fragonard",https://pop.culture.gouv.fr/notice/joconde/06070000081
5,musée de Picardie,Amiens,M0812,97,97,0,"© Henin, © Comdesimages | © Teissedre, © Comdesimages | © Teissedre ; © Comdesimages | © Jeanneteau, Marc, © Henin, © Comdesimages","Aimé Duthoit ; Louis Duthoit, Ribera, Louis Duthoit, Sébastien Bourdon",https://pop.culture.gouv.fr/notice/joconde/08120003377
6,musée des beaux-arts et galerie David-d'Angers,Angers,M0748,87,87,0,"© P David ; © Angers, musées d'Angers | © C2RMF","Peter Hawke, Turpin de Crissé, François Clouet, Federico Zuccaro, Charles Le Brun",https://pop.culture.gouv.fr/notice/joconde/00000061523
7,musée national de la céramique,Sèvres,M5019,67,67,0,"© M. de Giovanni, B. Chain - Le Studio Numérique","Antoine Gabriel Willermet, Jean-Charles François Leloy",https://pop.culture.gouv.fr/notice/joconde/50190035555
8,musée Crozatier,Le Puy-en-Velay,M0116,65,65,0,"(crédit vide) | (c) musée Crozatier, Luc Olivier | (c) musée Crozatier","André Marie Florentin Giraud, Simon Vouet, Albrecht Dürer, David Téniers, Le Tintoret",https://pop.culture.gouv.fr/notice/joconde/00000055588
9,musée Adrien Mentienne,Bry-sur-Marne,M0424,44,43,1,(crédit vide) | © Mathieu Lombard (utilisation soumise à autorisation),"Louis Verjat, Jean-Baptiste Oudry",https://pop.culture.gouv.fr/notice/joconde/04240000024
10,musée des beaux-arts,Orléans,M0286,37,37,0,"Orléans, musée des beaux-arts © cliché François LAUGINIE | Orléans, musée des beaux-arts © cliché S. BARRET/G. PRETRE","Crispin de Passe l'Ancien ; Crispin de Passe le Jeune, Israël Henriet, Albrecht Dürer, Annibale Carracci ; Ludovico Carracci",https://pop.culture.gouv.fr/notice/joconde/02860007456
