musee,ville,reference,numero_inventaire,titre,domaine,artistes,statut,credit,notice_pop
musée Ingres Bourdelle,Montauban,06070043332,MIC.1.54.A,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070043332
musée Ingres Bourdelle,Montauban,06070043334,MIC.1.54.B,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070043334
musée Ingres Bourdelle,Montauban,06070043336,MIC.1.54.C,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070043336
musée Ingres Bourdelle,Montauban,06070043338,MIC.1.54.D,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070043338
musée Ingres Bourdelle,Montauban,06070052048,MIC.2.20.A,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070052048
musée Ingres Bourdelle,Montauban,06070052054,MIC.2.20.D,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070052054
musée Ingres Bourdelle,Montauban,06070052056,MIC.2.20.E,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070052056
musée Ingres Bourdelle,Montauban,06070052058,MIC.2.20.F,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070052058
musée Ingres Bourdelle,Montauban,06070052062,MIC.2.20.H,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070052062
musée Ingres Bourdelle,Montauban,06070052064,MIC.2.20.I,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070052064
musée Ingres Bourdelle,Montauban,06070052066,MIC.2.20.J,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070052066
musée Ingres Bourdelle,Montauban,06070052068,MIC.2.20.K,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070052068
musée Ingres Bourdelle,Montauban,06070052070,MIC.2.20.L,,dessin,Ingres,unknown,© Jeanneteau Marc ; © musée de Montauban,https://pop.culture.gouv.fr/notice/joconde/06070052070
