famille,categorie,champ_source,extrait,auteur,precisions_auteur,ancienne_attribution,titre,denomination,domaine,musee,ville,reference,lien_pop,verdict,commentaire
? (point d'interrogation),doute,Auteur,"Collignon François (1610-1671) (graveur, ?);Callot Jacques (1592-1635) (d'après)","Collignon François (1610-1671) (graveur, ?);Callot Jacques (1592-1635) (d'après)","Collignon François : Nancy, 1610 ; Rome, 1671 ; nationalité : Française#Callot Jacques : Nancy, 1592 ; Nancy, 1635",,La Brouette,,estampe,musée des beaux-arts,Caen,06570019282,https://pop.culture.gouv.fr/notice/joconde/06570019282,,
? (point d'interrogation),doute,Auteur,USINE DU MONTET (fabricant) (?),USINE DU MONTET (fabricant) (?),"1811 ; 1976 ; Antoine Laujorrois démarre dès 1811 la vente de creusets réfractaires et de poterie de grès fin puis, s'associe à Ruault en 1827 avant de céder l'entreprise à Emmanuel Pajot en 1852. L'usine du Montet se spécialise alors dans la production de grès utilitaires avant de se tourner vers la production de céramique funéraire, ornementale ou de vaisselle de faïence suite au rachat de l'usine par Jean Bordelais en 1927 qu'il dirige jusqu'à son décès en 1967 (son épouse lui succède à la direction). Jusqu'à la fermeture de l'usine en 1976, l'entreprise tente une adpatation permanente au marché en renouvellant ses productions.",,,bocal,céramique;vie domestique,écomusée de la communauté Le Creusot - Monceau-les-Mines,Le Creusot,M0170004796,https://pop.culture.gouv.fr/notice/joconde/M0170004796,,
? (point d'interrogation),doute,Auteur,"PASSE Crispin I Van de (?, graveur, inventeur, d'après);PASSE Crispin II Van de (?, graveur, in…","PASSE Crispin I Van de (?, graveur, inventeur, d'après);PASSE Crispin II Van de (?, graveur, inventeur, d'après)",,,Philémon et Baucis,,estampe,musée des beaux-arts,Orléans,02860008246,https://pop.culture.gouv.fr/notice/joconde/02860008246,,
? (point d'interrogation),doute,Auteur,Dailland Louis (?);Dailland G (?);Dailland E (?),Dailland Louis (?);Dailland G (?);Dailland E (?),,,Store réclame (titre factice),tableau,peinture;ethnologie,musée des civilisations de l'Europe et de la Méditerranée,Marseille,5002P000262,https://pop.culture.gouv.fr/notice/joconde/5002P000262,,
? (point d'interrogation),doute,Auteur,PICOT Hippolyte (?),PICOT Hippolyte (?),,,"Château de Henri IV à Pau, d'après nature",,dessin,musée national du château de Pau,Pau,50170000122,https://pop.culture.gouv.fr/notice/joconde/50170000122,,
? (point d'interrogation),doute,Auteur,"OUDRY Jean-Baptiste (attribué, ?)","OUDRY Jean-Baptiste (attribué, ?)","Paris, 1686 ; Paris, 1755 ; attribution incertaine",,Chien-barbet chassant des canards sauvages,tableau,peinture,musée national du château de Fontainebleau,Fontainebleau,50130000371,https://pop.culture.gouv.fr/notice/joconde/50130000371,,
? (point d'interrogation),doute,Auteur,HUGO Charles (?);VACQUERIE Auguste (?),HUGO Charles (?);VACQUERIE Auguste (?),,,"Guernesey, le château Cornet",tirage photographique,photographie,musée d'Orsay,Paris,M5060000259,https://pop.culture.gouv.fr/notice/joconde/M5060000259,,
? (point d'interrogation),doute,Auteur,"anonyme;DAVIN Auguste (?, sculpteur, d'après);LEVY & NEURDEIN REUNIS (imprimeur, édit…","anonyme;DAVIN Auguste (?, sculpteur, d'après);LEVY & NEURDEIN REUNIS (imprimeur, éditeur)","DAVIN Auguste : Saint-Michel-en-Beaumont, Isère 1866 - Grenoble 1937",,2211- ALLEVARD-LES-BAINS / Monument aux Morts (Davin stat) (titre inscrit),carte postale;timbre,vie militaire;photographie;philatélie,musée municipal,Nuits-Saint-Georges,M0144000971,https://pop.culture.gouv.fr/notice/joconde/M0144000971,,
? (point d'interrogation),doute,Auteur,RASKIN Marcel (?);OLLIVIER Michel Barthélémy (d'après),RASKIN Marcel (?);OLLIVIER Michel Barthélémy (d'après),"Raskin : 20e siècle ; Ollivier : Marseille, 1712 ; Paris, 1784",,"L'Hallali devant le château de L'Isle-Adam d'après Michel Barthélémy Ollivier, copie inachevée de Raskin",,dessin,musée d'Art et d'Histoire Louis Senlecq,L'Isle-Adam,M0435001411,https://pop.culture.gouv.fr/notice/joconde/M0435001411,,
? (point d'interrogation),doute,Auteur,CALDARA Polidoro (? );POLIDORO DA CARAVAGGIO (dit),CALDARA Polidoro (? );POLIDORO DA CARAVAGGIO (dit),"Caravaggio, 1490-1500 ; Messine, 1543",,La Vendange,,dessin,musée Condé,Chantilly,50520000006,https://pop.culture.gouv.fr/notice/joconde/50520000006,,
