strate,reference,lien_pop,type_passage_predit,ancienne_attribution_brut,auteur_actuel_brut,ancien_nom_extrait,anciens_noms_reconnus,annee_revision,titre,musee,ville,verdict,commentaire
passage : vers un autre nom,50350203029,https://pop.culture.gouv.fr/notice/joconde/50350203029,Vers un autre nom,ancienne attribution : ANONYME ITALIEN fin XVIIe s,ODAZZI Giovanni,,,,"Un religieux assis, tenant un livre sur ses genoux",musée du Louvre,Paris,OK,Passage lisible : ancien libellé anonyme italien → nom d'artiste actuel.
passage : vers un autre nom,50350001532,https://pop.culture.gouv.fr/notice/joconde/50350001532,Vers un autre nom,ancienne attribution : CARUCCI Jacopo,ZUCCHI Jacopo;L'ANTIQUE (inspiré par),CARUCCI Jacopo,,,"Pied d'un candélabre, et rinceau avec oiseaux",musée du Louvre,Paris,OK,Ancien nom extrait correctement ; passage vers un autre nom lisible.
passage : vers un autre nom,50350109453,https://pop.culture.gouv.fr/notice/joconde/50350109453,Vers un autre nom,attribué à : BACKER Jacob de,RIJCKERE Bernaert de,BACKER Jacob de,,,Apollon et les Muses,musée du Louvre,Paris,OK,"Ancienne attribution déjà prudente, mais passage vers un autre nom actuel compréhensible."
passage : vers un autre nom,M0650012346,https://pop.culture.gouv.fr/notice/joconde/M0650012346,Vers un autre nom,manufacture Wedgwood (ancienne attribution),Centre Indéterminé,manufacture Wedgwood,,,Chou-fleur,musée de l'hôtel Sandelin,Saint-Omer,à exclure,"Cas manufacture / centre indéterminé, pas assez aligné avec la rubrique d'attributions d'artistes."
passage : vers un autre nom,50350108497,https://pop.culture.gouv.fr/notice/joconde/50350108497,Vers un autre nom,attribué à : DIETTERLIN Bartholomäus,MORES Jakob le Vieux,DIETTERLIN Bartholomäus,,,Projet d'un surtout de table à sujet bachique,musée du Louvre,Paris,OK,Ancien nom extrait correctement ; passage vers un autre nom lisible.
passage : vers un autre nom,50350003096,https://pop.culture.gouv.fr/notice/joconde/50350003096,Vers un autre nom,ancienne attribution : Léonard de Vinci (1452-1519),Pisanello Antonio (1395?-1455?),Léonard de Vinci,vinci,,Quatre médaillons à l'effigie et aux armes d'Alphonse V d'Aragon,musée du Louvre,Paris,OK,Cas clair : Léonard de Vinci → Pisanello.
passage : vers un autre nom,50350101744,https://pop.culture.gouv.fr/notice/joconde/50350101744,Vers un autre nom,attribué à : ZUCCARO Taddeo,VIVIANI Antonio,ZUCCARO Taddeo,,,Etude d'angelot,musée du Louvre,Paris,OK,Ancien nom extrait correctement ; passage vers un autre nom lisible.
passage : vers un autre nom,50110000677,https://pop.culture.gouv.fr/notice/joconde/50110000677,Vers un autre nom,"Marie-Claude Chaudonneret a rappelé la présence au Salon de 1819 du tableau de Drölling, identique à celui-ci et déposé par le Louvre au musée Chéret de Nice. Elle confirme l'attribution à Drölling (communication écrite, septembre 1999)",DROLLING Michel Martin (peintre),,,,Orphée et Eurydice,musée national Magnin,Dijon,faux passage,Le champ confirme l'attribution actuelle à Drölling ; pas de vrai avant/après exploitable.
passage : vers une attribution prudente,50350001821,https://pop.culture.gouv.fr/notice/joconde/50350001821,Vers une attribution prudente,ancienne attribution : FURINI Francesco,FURINI Francesco (attribué à),FURINI Francesco,,,David présentant la tête de Goliath,musée du Louvre,Paris,OK,"Même nom, mais attribution actuelle prudente ; cas lisible."
passage : vers une attribution prudente,50350002972,https://pop.culture.gouv.fr/notice/joconde/50350002972,Vers une attribution prudente,ancienne attribution : GIOVANNI DA UDINE,VASARI Giorgio (attribué à),GIOVANNI DA UDINE,,,Etudes de grottesques pour une décoration murale,musée du Louvre,Paris,OK,Passage vers une attribution prudente ; ancien nom lisible.
passage : vers une attribution prudente,6290000449,https://pop.culture.gouv.fr/notice/joconde/06290000449,Vers une attribution prudente,Ancienne attribution : anonyme français,ARNOULT Nicolas (attribué à),,,,"La cérémonie du mariage du duc de Bourgogne ; Un mariage princier, sous Louis XIV",musée des beaux-arts,Lille,OK,Direction inverse anonyme → attribution prudente ; utile pour équilibrer le récit.
passage : vers une attribution prudente,3110010361,https://pop.culture.gouv.fr/notice/joconde/03110010361,Vers une attribution prudente,ancienne attribution : COCHEREAU Léon-Matthieu (1793-1817),COCHEREAU Léon-Matthieu (attribué à);anonyme,COCHEREAU Léon-Matthieu,,,Vue de la salle du XVIIème siècle au musée des Monuments Français (titre attribué),musée des Beaux-Arts de Saint-Denis,Reims,OK,"Même nom, mais attribution actuelle prudente et anonyme associé ; cas lisible."
passage : vers une attribution prudente,50350006885,https://pop.culture.gouv.fr/notice/joconde/50350006885,Vers une attribution prudente,attribué à : ROSA Salvator,ROSA Salvator (école);anonyme,ROSA Salvator,,,"Homme nu assis, de dos, penché légèrement en avant",musée du Louvre,Paris,OK,"Même nom, mais passage vers école/anonyme ; attribution actuelle prudente."
passage : vers une attribution prudente,50350107611,https://pop.culture.gouv.fr/notice/joconde/50350107611,Vers une attribution prudente,ancienne attribution : OSTADE Adriaen van,OSTADE Adriaen van (école),OSTADE Adriaen van,,,Jeune garçon jouant du violon,musée du Louvre,Paris,OK,"Même nom, mais passage vers école ; cas lisible."
passage : vers une attribution prudente,50350100488,https://pop.culture.gouv.fr/notice/joconde/50350100488,Vers une attribution prudente,ancienne attribution : LAURI Filippo,GARZI Luigi (attribué à),LAURI Filippo,,,Flore répand des fleurs prises dans un panier tenu par deux enfants ailés,musée du Louvre,Paris,OK,Autre nom actuel avec réserve ; catégorie prudente acceptable.
