famille,categorie,champ_source,extrait,auteur,precisions_auteur,ancienne_attribution,titre,denomination,domaine,musee,ville,verdict,commentaire,reference,lien_pop
attribué à,doute,Auteur,Barla Jean-Baptiste (1817-1896) (attribué à),Barla Jean-Baptiste (1817-1896) (attribué à),"Nice, 1817 ; Nice, 1896",,Iphéion ; plante à fleurs,,sciences naturelles;dessin;botanique,muséum d'histoire naturelle,Nice,vrai,,70500006610,https://pop.culture.gouv.fr/notice/joconde/70500006610
attribué à,doute,Auteur,Barla Jean-Baptiste (1817-1896) (attribué à),Barla Jean-Baptiste (1817-1896) (attribué à),"Nice, 1817 ; Nice, 1896",,Erodium à feuilles de mauve ; plante à fleurs,,sciences naturelles;dessin;botanique,muséum d'histoire naturelle,Nice,vrai,,70500004913,https://pop.culture.gouv.fr/notice/joconde/70500004913
attribué à,doute,Auteur,LA FAGE Raymond de (attribué à),LA FAGE Raymond de (attribué à),"Lisle-sur-Tarn, 1656 ; Lyon, 1684",,SUJET MYTHOLOGIQUE,,dessin,musée Cantini,Marseille,vrai,,000DE007199,https://pop.culture.gouv.fr/notice/joconde/000DE007199
attribué à,doute,Auteur,RICCIARELLI DA VOLTERRA Daniele (attribué à),RICCIARELLI DA VOLTERRA Daniele (attribué à),né en 1509 ; mort en 1566,ancienne attribution : RICCIARELLI DA VOLTERRA Daniele,Le Père Eternel dans les airs soutenu par deux anges,,dessin,musée du Louvre,Paris,vrai,,50350002145,https://pop.culture.gouv.fr/notice/joconde/50350002145
attribué à,doute,Auteur,Pergaut Dominique (1729-1808) (attribué à),Pergaut Dominique (1729-1808) (attribué à),"Vacqueville, 1729 ; Lunéville, 1808",,Le marchand de perdrix (titre de l'inventaire) ; Mendiants du Duc de Lorraine (titre d'usage),tableau,beaux-arts;peinture,musée barrois,Bar-le-Duc,vrai,,M0517000354,https://pop.culture.gouv.fr/notice/joconde/M0517000354
attribué à,doute,Auteur,LEONI Ottavio Mario (attribué à),LEONI Ottavio Mario (attribué à),né vers 1578 ; mort en 1630,,Portrait d'une vieille femme les yeux fixés en bas et la tête couverte,,dessin,musée du Louvre,Paris,vrai,,50350100542,https://pop.culture.gouv.fr/notice/joconde/50350100542
attribué à,doute,Auteur,CARRACCI l'un des (attribué à),CARRACCI l'un des (attribué à),,,Mendiante avec son enfant,,dessin,musée du Louvre,Paris,vrai,,50350004789,https://pop.culture.gouv.fr/notice/joconde/50350004789
attribué à,doute,Auteur,"Georgin François (1801-1863) (graveur, attribué à);Pellerin (imprimeur, éditeur)","Georgin François (1801-1863) (graveur, attribué à);Pellerin (imprimeur, éditeur)","Georgin François : Epinal, 1801 ; Epinal, 1863 ",,LES CATASTROPHES ET LA FIN TRAGIQUE DU PETIT TOUCHE-A-TOUT. (titre inscrit),à compartiments (5x4),estampe;élément d'impression,musée de l'image,Epinal,vrai,,M0537040571,https://pop.culture.gouv.fr/notice/joconde/M0537040571
attribué à,doute,Auteur,Leloir Suzanne (1885-1923) (attribué à),Leloir Suzanne (1885-1923) (attribué à),Peintre française née en 1885 et décédée en 1923. Fille de Maurice Leloir,,Suzanne Leloir (titre inscrit),tableau,peinture,musée Gallé-Juillet,Creil,vrai,,M0805003337,https://pop.culture.gouv.fr/notice/joconde/M0805003337
attribué à,doute,Auteur,Barla Jean-Baptiste (1817-1896) (attribué à),Barla Jean-Baptiste (1817-1896) (attribué à),"Nice, 1817 ; Nice, 1896",,Polypore rouillé ; champignon,,sciences naturelles;dessin;mycologie,muséum d'histoire naturelle,Nice,vrai,,70500003984,https://pop.culture.gouv.fr/notice/joconde/70500003984
attribué à,doute,Auteur,Barla Jean-Baptiste (1817-1896) (attribué à),Barla Jean-Baptiste (1817-1896) (attribué à),"Nice, 1817 ; Nice, 1896",,Psilocybe ; champignon,,sciences naturelles;dessin;mycologie,muséum d'histoire naturelle,Nice,vrai,,70500003506,https://pop.culture.gouv.fr/notice/joconde/70500003506
attribué à,doute,Auteur,Barla Jean-Baptiste (1817-1896) (attribué à),Barla Jean-Baptiste (1817-1896) (attribué à),"Nice, 1817 ; Nice, 1896",,Laitue sauvage ; Laitue scariole ; Escarole ; plante à fleurs,,sciences naturelles;dessin;botanique,muséum d'histoire naturelle,Nice,vrai,,70500005712,https://pop.culture.gouv.fr/notice/joconde/70500005712
attribué à,doute,Auteur,PERNOT François-Alexandre (attribué),PERNOT François-Alexandre (attribué),"Vassy (89), 1793 ; Vassy (89), 1865",,L'EGLISE DES JACOBINS,,dessin,musée des beaux-arts et d’archéologie,Troyes,vrai,,00000081857,https://pop.culture.gouv.fr/notice/joconde/00000081857
attribué à,doute,Precisions_sur_l_auteur,"Canivet François-Marc (graveur, attribué à) : Nancy, 1797 ; Nancy 1857","Pellerin (imprimeur, éditeur);Canivet François-Marc (1797-1857)","Canivet François-Marc (graveur, attribué à) : Nancy, 1797 ; Nancy 1857",Attribution de Jean-Marie Dumont,"CANTIQUES SPIRITUELS./ SAINT JEAN, / APOTRE CHERI DE DIEU, / QUATRIEME.EVANGELISTE, / Fils de Zébédée ... de Pathmos. (titre inscrit)",image pieuse,estampe;croyances - coutumes,musée de l'image,Epinal,vrai,,M0537000405,https://pop.culture.gouv.fr/notice/joconde/M0537000405
attribué à,doute,Auteur,"BARTOLO Andrea di;SOLARIO Andrea (dit) (attribué à, peintre)","BARTOLO Andrea di;SOLARIO Andrea (dit) (attribué à, peintre)","BARTOLO : ?, vers 1465 ; ?, 1524",,Saint à mi-corps tenant un livre,,peinture,musée des beaux-arts,Caen,vrai,,06570008218,https://pop.culture.gouv.fr/notice/joconde/06570008218
attribué à,doute,Auteur,VARADY A (attribué à),VARADY A (attribué à),,,(Sans titre),tirage photographique (élément d'ensemble),photographie,musée d'art moderne et contemporain de Strasbourg,Strasbourg,vrai,,00160008547,https://pop.culture.gouv.fr/notice/joconde/00160008547
attribué à,doute,Auteur,"…aux Jean-Baptiste (1768-1855) (éditeur, attribué à);Blocquel Simon-François (1780-1863) …","Castiaux Jean-Baptiste (1768-1855) (éditeur, attribué à);Blocquel Simon-François (1780-1863) (imprimeur, attribué à)",Blocquel Simon-François (actif 1805-1851); Castiaux Jean-Baptiste (actif 1813-1851),,pages de la Clé des songes (titre factice),livret de colportage,imprimé,musée de l'image,Epinal,vrai,,M0537013656,https://pop.culture.gouv.fr/notice/joconde/M0537013656
attribué à,doute,Auteur,FALCONE Aniello (attribué à),FALCONE Aniello (attribué à),né en 1607 ; mort en 1656,,"Un homme nu assis, appuyé sur la main droite, vu par le dos",,dessin,musée du Louvre,Paris,vrai,,50350006716,https://pop.culture.gouv.fr/notice/joconde/50350006716
attribué à,doute,Auteur,…aïencerie de Sarreguemines (fabricant) (attribué à),Faïencerie de Sarreguemines (fabricant) (attribué à),,,,intaille,céramique,musée de la faïence et des techniques faïencières,Sarreguemines,vrai,,05330017517,https://pop.culture.gouv.fr/notice/joconde/05330017517
attribué à,doute,Auteur,Clausel Alexandre (1802-1884) (attribué à),Clausel Alexandre (1802-1884) (attribué à),,,"Troyes, la porte de Croncels",tirage photographique,photographie,musée des beaux-arts et d’archéologie,Troyes,vrai,,M0303004310,https://pop.culture.gouv.fr/notice/joconde/M0303004310
attribué à,doute,Auteur,LE BRUN Charles (attribué),LE BRUN Charles (attribué),"Paris, 1619 ; Paris, 1690",,"Portrait présumé du peintre Charles Le Brun jeune, présentant le portrait d'un militaire",tableau,peinture,musée national des châteaux de Versailles et de Trianon,Versailles,vrai,,000PE011526,https://pop.culture.gouv.fr/notice/joconde/000PE011526
attribué à,doute,Auteur,Boulanger Giovanni (attribué à),Boulanger Giovanni (attribué à),"BOULANGER Jean (patronyme) ; ?, 1566 ; ?, 1660",,Allégorie de la peinture,,dessin,musée de Grenoble,Grenoble,vrai,,09940192223,https://pop.culture.gouv.fr/notice/joconde/09940192223
attribué à,doute,Auteur,anonyme (attribué),anonyme (attribué),,,Amour tenant une couronne,,beaux-arts;peinture,Palais-musée des Archevêques de Narbonne,Narbonne,incertain,"formulation bizarre ""anonyme attribué"", à vérifier",04450000803,https://pop.culture.gouv.fr/notice/joconde/04450000803
attribué à,doute,Auteur,Barla Jean-Baptiste (1817-1896) (attribué à),Barla Jean-Baptiste (1817-1896) (attribué à),"Nice, 1817 ; Nice, 1896",,Cortinaire de Bulliard ; Cortinaire à pied de feu ; champignon,,sciences naturelles;dessin;mycologie,muséum d'histoire naturelle,Nice,vrai,,70500003262,https://pop.culture.gouv.fr/notice/joconde/70500003262
attribué à,doute,Auteur,"PRIMATICCIO Francesco (attribué à);LE PRIMATICE (dit, attribué à)","PRIMATICCIO Francesco (attribué à);LE PRIMATICE (dit, attribué à)",né en 1504 ; mort en 1570,ancienne attribution : INCONNU,"Une figure drapée regardant vers la gauche, les bras croisés sur la poitrine",,dessin,musée du Louvre,Paris,vrai,,50350005693,https://pop.culture.gouv.fr/notice/joconde/50350005693
attribué à,doute,Auteur,Barla Jean-Baptiste (1817-1896) (attribué à),Barla Jean-Baptiste (1817-1896) (attribué à),"Nice, 1817 ; Nice, 1896",,Orchis à longues bractées ; plante à fleurs,,sciences naturelles;dessin;botanique,muséum d'histoire naturelle,Nice,vrai,,70500006996,https://pop.culture.gouv.fr/notice/joconde/70500006996
