reference_joconde,titre_joconde,artiste,musee,numero_inventaire,etat,titre_gallica,ark,licence,source,raisons
M0537000075,HISTOIRE DE L'ENFANT PRODIGUE (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.42 B,refusee,,,,Gallica (BnF),dates incompatibles (1888 / 1843)
M0537043907,LA MAUVAISE SAISON (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2846 B,refusee,,,,Gallica (BnF),le musée conserve 3 notices de ce titre : l'exemplaire visé serait indéterminé
M0537043666,HISTOIRE DE LA BELLE ET LA BÊTE (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2650 B,refusee,,,,Gallica (BnF),le musée conserve 5 notices de ce titre : l'exemplaire visé serait indéterminé
M0537043784,HISTOIRE DE ROBIN ET GENTIL (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2748 B,refusee,,,,Gallica (BnF),le musée conserve 4 notices de ce titre : l'exemplaire visé serait indéterminé
M0537027523,"DE WONDERBARE VISCHVANGST (titre inscrit, néerl.) ;  LA PÊCHE MIRACULEUSE (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2129 B ; VII / B 68,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537006094,LES MERVEILLEUSES BOTTES DE SEPT LIEUES. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5968 B,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537027480,"Geschiedenis van de Deerne en het Ondier (titre inscrit, néerl.) ; La Belle et la Bête. (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2084 B ; VII / B 23,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537043779,HISTOIRE DE ROBIN ET GENTIL (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2747 B,refusee,,,,Gallica (BnF),le musée conserve 4 notices de ce titre : l'exemplaire visé serait indéterminé
M0537006060,LA VISITE A LÉONORE. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5934 B,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537027464,"GESCHIEDENIS VAN EEN EZEL (titre inscrit, néerl.) ; L’histoire d’un âne. (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2067 B ; VII / B 6,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537017952,HISTOIRE DE ROBIN ET GENTIL  (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.1441 B ; VI / 157,refusee,,,,Gallica (BnF),le musée conserve 4 notices de ce titre : l'exemplaire visé serait indéterminé
M0537043663,HISTOIRE DE LA BELLE ET LA BÊTE (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2647 B,refusee,,,,Gallica (BnF),le musée conserve 5 notices de ce titre : l'exemplaire visé serait indéterminé
M0537006045,"MARIE, L'AMIE DES OISEAUX ET DES PAUVRES. (titre inscrit)",charles-eugene-ensfelder,musée de l'image,D 996.1.5919 B,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537017989,LA MAUVAISE SAISON. (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.1478 B ; VI / 194,refusee,,,,Gallica (BnF),le musée conserve 3 notices de ce titre : l'exemplaire visé serait indéterminé
M0537029149,"LE LOUP, / LA CHÈVRE & SES BIQUETS. (titre inscrit)",charles-eugene-ensfelder,musée de l'image,990.1.2861 Alb ; Alb / H 6,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537004101,LA MAUVAISE SAISON. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.3936 B,refusee,,,,Gallica (BnF),le musée conserve 3 notices de ce titre : l'exemplaire visé serait indéterminé
M0537006065,LES VACANCES DE LOUISE ET DE LUCIE. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5939 B,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537006109,FREDERIC ET EDOUARD / Ou le bon et le mauvais écoliers. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5983 B,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537017283,LES OCCUPATIONS DES PETITES FILLES (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.719 B ; IV / 201,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537017776,HISTOIRE DE LA BELLE ET LA BETE. (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.1405 B ; VI / 122,refusee,,,,Gallica (BnF),le musée conserve 5 notices de ce titre : l'exemplaire visé serait indéterminé
M0537027470,"GESCHIEDNIS VAN WILLIAM TELL (titre inscrit, néerl.) ; L’histoire de Guillaume Tell (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2074 B ; VII / B 13,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537043832,LA VIE ET LES TRAVAUX DE LA CAMPAGNE / L'ÉTÉ et L'AUTOMNE (Suite) (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2776 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537006053,HISTOIRE D'UN ANE. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5927 B,refusee,,,,Gallica (BnF),le titre ne se retrouve pas dans la notice Gallica
M0537022204,HISTOIRE DE ROBIN ET GENTIL  (titre inscrit),charles-eugene-ensfelder,musée de l'image,2005.17.78 B,refusee,,,,Gallica (BnF),le musée conserve 4 notices de ce titre : l'exemplaire visé serait indéterminé
M0537043665,HISTOIRE DE LA BELLE ET LA BÊTE (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2649 B,refusee,,,,Gallica (BnF),le musée conserve 5 notices de ce titre : l'exemplaire visé serait indéterminé
M0537020025,LEGENDE DE SAINT ELOI (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.66 B ; I / 66,refusee,,,,Gallica (BnF),dates incompatibles (1921 / 1891)
M0537043662,HISTOIRE DE LA BELLE ET LA BÊTE (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2646 B,refusee,,,,Gallica (BnF),le musée conserve 5 notices de ce titre : l'exemplaire visé serait indéterminé
M0537006051,LA PÊCHE MIRACULEUSE. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5925 B,refusee,,,,Gallica (BnF),l'éditeur Pellerin n'est pas nommé côté Gallica ; dates incompatibles (1888 / 1945)
M0537027534,"GESCHIEDENIS VAN RIK MET DE KUIF (titre inscrit, néerl.) ; histoire de Riquet à la Houppe (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2140 B ; VII / B 79,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537027495,"DE KATER EN DE JONGE MUSSCHEN (titre inscrit, néerl.) ; le chat et les jeunes moineaux (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2100 B ; VII / B 39,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537017306,LA VIE ET LES TRAVAUX DE LA CAMPAGNE / L’ETE et L’AUTOMNE (suite) (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.717 B ; IV / 199,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537006217,VIVE LE VÉLOCIPÈDE. / Nouveaux vélocipèdes dits de Société (brevet d'invention). (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.6092 B,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537017512,Le Bon et le Mauvais Chemin (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.1039 B ; V / 141,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537007970,PIRAME ET THISBE. N°.883. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7867 B,refusee,,,,Gallica (BnF),le musée conserve 4 notices de ce titre : l'exemplaire visé serait indéterminé
M0537017582,PIRAME ET THISBE (titre inscrit),charles-francois-pinot,musée de l'image,990.1.1277 B ; VI / 2,refusee,,,,Gallica (BnF),le musée conserve 4 notices de ce titre : l'exemplaire visé serait indéterminé
M0537008136,PIRAME ET THISBE. N°.883. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.8036 B,refusee,,,,Gallica (BnF),le musée conserve 4 notices de ce titre : l'exemplaire visé serait indéterminé
M0537007954,HISTOIRE DE PAUL ET VIRGINIE. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7851 B,refusee,,,,Gallica (BnF),l'éditeur Pellerin n'est pas nommé côté Gallica ; dates incompatibles (1888 / 1865)
M0537007969,PIRAME ET THISBÉ(titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7866 B,refusee,,,,Gallica (BnF),le musée conserve 4 notices de ce titre : l'exemplaire visé serait indéterminé
M0537038121,LE CHAT BOTTÉ. (CONTE DE FÉES.) 557 (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.5015 B,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537004705,LE ROI DAGOBERT. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.4559 B,refusee,,,,Gallica (BnF),le musée conserve 3 notices de ce titre : l'exemplaire visé serait indéterminé
M0537004800,MONSIEUR ET MADAME DENIS. / Souvenirs de deux vieux époux. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.4656 B,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537017171,LE CHAT DE LA MÈRE MICHEL (titre inscrit),charles-francois-pinot,musée de l'image,990.1.583 B ; IV / 94,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537046230,VIVE L'AMOUR ! VIVE LE VIN ! (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.6941 B,refusee,,,,Gallica (BnF),le titre ne se retrouve pas dans la notice Gallica
M0537027468,"TIJL UILENSPIEGEL (titre inscrit, néerl.) ; Till l’espiègle. (titre factice)",charles-francois-pinot,musée de l'image,990.1.2072 B ; VII / B 11,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537027469,"DE GESCHIEDENIS VAN ROBINSON CRUSOE (titre inscrit, néerl.) ; L’histoire de Robinson Crusoé. (titre factice)",charles-francois-pinot,musée de l'image,990.1.2073 B ; VII / B 12,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537004715,LE CHAT DE LA MÈRE MICHEL. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.4569 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537040563,"SCÈNES VILLAGEOISES ET TRAVAUX CHAMPÊTRES. / 540 (titre inscrit, fr., all.)",charles-francois-pinot,musée de l'image,2010.5.6555 B,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
