reference_joconde,titre_joconde,artiste,musee,numero_inventaire,numero_planche,etat,fichier,licence,credit,auteur_image,source,raisons
M0537000075,HISTOIRE DE L'ENFANT PRODIGUE (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.42 B,551,refusee,,,,,Wikimedia Commons,"la feuille numérisée est un tirage antérieur, sans numéro, et son texte n'est pas celui que le musée a relevé (contrôle visuel)"
M0537037151,HISTOIRE DE LA BELLE ET LA BÊTE N°. 503. (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.3507 B,503,refusee,,,,,Wikimedia Commons,le musée conserve 6 notices de ce titre et de ce numéro (503) : l'exemplaire visé serait indéterminé
M0537043907,LA MAUVAISE SAISON (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2846 B,590,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (590) : l'exemplaire visé serait indéterminé
M0537043666,HISTOIRE DE LA BELLE ET LA BÊTE (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2650 B,503,refusee,,,,,Wikimedia Commons,le musée conserve 6 notices de ce titre et de ce numéro (503) : l'exemplaire visé serait indéterminé
M0537043784,HISTOIRE DE ROBIN ET GENTIL (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2748 B,546,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (546) : l'exemplaire visé serait indéterminé
M0537027523,"DE WONDERBARE VISCHVANGST (titre inscrit, néerl.) ;  LA PÊCHE MIRACULEUSE (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2129 B ; VII / B 68,68,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537045306,HISTOIRE DE ROBIN ET GENTIL. N°. 546. (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.3556 B,546,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (546) : l'exemplaire visé serait indéterminé
M0537006094,LES MERVEILLEUSES BOTTES DE SEPT LIEUES. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5968 B,542,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537014578,LA MAUVAISE SAISON. N°.590. (titre inscrit),charles-eugene-ensfelder,musée de l'image,2002.4.4 B,590,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (590) : l'exemplaire visé serait indéterminé
M0537027480,"Geschiedenis van de Deerne en het Ondier (titre inscrit, néerl.) ; La Belle et la Bête. (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2084 B ; VII / B 23,23,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537043779,HISTOIRE DE ROBIN ET GENTIL (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2747 B,546,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (546) : l'exemplaire visé serait indéterminé
M0537006060,LA VISITE A LÉONORE. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5934 B,528,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (528) : l'exemplaire visé serait indéterminé
M0537027464,"GESCHIEDENIS VAN EEN EZEL (titre inscrit, néerl.) ; L’histoire d’un âne. (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2067 B ; VII / B 6,6,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017952,HISTOIRE DE ROBIN ET GENTIL  (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.1441 B ; VI / 157,546,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (546) : l'exemplaire visé serait indéterminé
