reference,statut,licence,credit,raison,artistes,musee,ville,titre,presence_image,artiste_sous_droits,image,notice_pop,http,verifie_le
00000055053,unavailable,,,aucune image sur POP,Rubens,musée des beaux-arts,Rouen,"ALBERT, ARCHIDUC D'AUTRICHE",non,,,https://pop.culture.gouv.fr/notice/joconde/00000055053,,
00000055054,unavailable,,,aucune image sur POP,Rubens,musée des beaux-arts,Rouen,"ISABELLE, FEMME DE L'ARCHIDUC ALBERT D'AUTRICHE",non,,,https://pop.culture.gouv.fr/notice/joconde/00000055054,,
00000055631,unknown,,,crédit photographique absent,Albrecht Dürer,musée Crozatier,Le Puy-en-Velay,UN FAUCONNIER ; PAYSAN AU COQ,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00000055631/847.6.jpg,https://pop.culture.gouv.fr/notice/joconde/00000055631,200,2026-07-29
00000055635,unknown,,,crédit photographique absent,Simon Vouet,musée Crozatier,Le Puy-en-Velay,ASSOMPTION DE LA VIERGE,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00000055635/1903.231.jpg,https://pop.culture.gouv.fr/notice/joconde/00000055635,200,2026-07-29
00000055990,unavailable,,,aucune image sur POP,Pierre Mignard,musée des beaux-arts et d’archéologie,Troyes,Portrait d'homme,non,,,https://pop.culture.gouv.fr/notice/joconde/00000055990,,
00000056019,unavailable,,,aucune image sur POP,Hyacinthe Rigaud,musée des beaux-arts et d’archéologie,Troyes,PORTRAIT D'HOMME,non,,,https://pop.culture.gouv.fr/notice/joconde/00000056019,,
00000056500,unknown,,© Carole Loisel ; © Catherine Lancien,crédit sans licence explicite,Laurent de La Hyre,musée des beaux-arts,Rouen,SAINT FRANCOIS CONSOLE PAR LA MUSIQUE DES ANGES,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00000056500/SR-115.jpg,https://pop.culture.gouv.fr/notice/joconde/00000056500,200,2026-07-29
00000058247,unavailable,,,aucune image sur POP,Géricault,musée des beaux-arts,Rouen,CHEVAUX DE POSTILLON,non,,,https://pop.culture.gouv.fr/notice/joconde/00000058247,,
00000058402,unknown,,© Carole Loisel ; © Catherine Lancien,crédit sans licence explicite,Nicolas de Largillière,musée des beaux-arts,Rouen,"ETUDE POUR LE PORTRAIT D'UN CHASSEUR ; JOSEPH ET LA FEMME DE PUTIPHAR (ESQUISSE, AU VERSO)",oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00000058402/975-4-121.jpg,https://pop.culture.gouv.fr/notice/joconde/00000058402,200,2026-07-29
00000058404,unknown,,© Carole Loisel ; © Catherine Lancien,crédit sans licence explicite,Charles Le Brun,musée des beaux-arts,Rouen,PORTRAIT D'HOMME EN COSTUME DE L'ORDRE DU SAINT-ESPRIT ; DIT AUSSI PORTRAIT D'HOMME EN CHAPEAU A PLUME,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00000058404/975-4-50.jpg,https://pop.culture.gouv.fr/notice/joconde/00000058404,200,2026-07-29
