maitre|lot|notices_prudentes|attributions_certaines|copies_d_apres|musees
Charles Le Brun|initial-2026-07-07|310|3034|354|64
Ingres|initial-2026-07-07|203|4462|88|46
Le Primatice|initial-2026-07-07|197|318|158|18
Rembrandt|initial-2026-07-07|187|641|117|57
Michel-Ange|initial-2026-07-07|148|228|171|41
Rubens|initial-2026-07-07|121|508|383|76
François Clouet|initial-2026-07-07|105|73|55|23
Le Guerchin|temps5-2026-07-22|101|180|84|44
Annibale Carracci|initial-2026-07-07|86|501|226|33
Bouchardon|temps5-2026-07-22|86|1066|31|23
Ludovico Carracci|temps5-2026-07-22|83|142|25|17
Rodin|initial-2026-07-07|80|13404|7|56
Jules Romain|temps5-2026-07-22|79|199|252|30
Boucher|initial-2026-07-07|78|376|120|81
David Téniers|temps5-2026-07-22|72|165|64|57
François Gérard|temps5-2026-07-22|65|482|100|51
Andrea del Sarto|initial-2026-07-07|63|151|97|33
Le Parmesan|temps5-2026-07-22|63|224|159|21
Guido Reni|initial-2026-07-07|60|160|174|62
Perino del Vaga|temps5-2026-07-22|56|96|44|10
Léonard de Vinci|initial-2026-07-07|50|87|206|35
Salvator Rosa|temps5-2026-07-22|50|144|73|32
Greuze|initial-2026-07-07|49|274|116|52
Nicolas Poussin|initial-2026-07-07|48|306|313|56
Adolph Menzel|temps5-2026-07-22|47|12|0|2
Simon Vouet|initial-2026-07-07|46|348|77|40
Van Dyck|initial-2026-07-07|46|336|252|62
Baccio Bandinelli|temps5-2026-07-22|45|110|30|8
Carlo Maratti|temps5-2026-07-22|45|99|28|28
Pierre Mignard|initial-2026-07-07|43|473|161|53
Antonio Tempesta|temps5-2026-07-22|43|102|63|22
Luca Giordano|temps5-2026-07-22|42|79|16|39
Joseph Vernet|temps5-2026-07-22|42|141|47|48
Hyacinthe Rigaud|initial-2026-07-07|41|193|162|71
Géricault|initial-2026-07-07|40|402|44|38
Domenico Campagnola|temps5-2026-07-22|39|56|14|7
Le Tintoret|initial-2026-07-07|38|41|55|29
Federico Barocci|temps5-2026-07-22|38|86|36|18
Federico Zuccaro|temps5-2026-07-22|37|311|39|11
Véronèse|initial-2026-07-07|35|96|108|45
Luca Cambiaso|temps5-2026-07-22|34|194|37|14
Polidoro Caldara|temps5-2026-07-22|33|130|195|10
Gaspard Dughet|temps5-2026-07-22|32|53|4|28
Fragonard|initial-2026-07-07|30|264|26|42
Corneille de Lyon|temps5-2026-07-22|29|11|5|9
Francesco Vanni|temps5-2026-07-22|29|79|6|12
Raphaël|initial-2026-07-07|27|1326|771|77
Philippe de Champaigne|temps5-2026-07-22|26|184|114|54
Laurent de La Hyre|temps5-2026-07-22|26|117|15|24
Giorgio Vasari|temps5-2026-07-22|26|197|30|14
Le Corrège|initial-2026-07-07|25|82|111|29
Sébastien Bourdon|temps5-2026-07-22|25|155|30|43
Pier Francesco Mola|temps5-2026-07-22|24|73|8|17
Louis Léopold Boilly|temps5-2026-07-22|24|235|5|42
Jean-Baptiste Oudry|temps5-2026-07-22|23|400|457|44
Nicolas de Largillière|temps5-2026-07-22|23|77|30|44
Paul Bril|temps5-2026-07-22|22|66|25|18
Ribera|initial-2026-07-07|21|55|27|44
Le Pérugin|temps5-2026-07-22|21|33|19|19
Claude Lorrain|temps5-2026-07-22|20|207|41|23
Albrecht Dürer|temps5-2026-07-22|19|740|112|37
Botticelli|temps5-2026-07-22|17|20|14|13
Titien|initial-2026-07-07|11|94|147|39
